First Name,Last Name,Gender,Age,Business Travel,Department,Distance From Home (KM),State,Ethnicity,Education Field,Job Role,Marital Status,Salary,Stock Option Level,Over Time,Hire Date,Attrition,Years At Company,Years In Most Recent Role,Years Since Last Promotion,Years With Current Manager,Education Level
Forbes,Toretta,Male,28,No Travel ,Technology,44,NY,White,Computer Science,Senior Software Engineer,Married,218406,1,No,2012-02-17,No,10,10,10,10,High School 
Paulina,Senecaut,Female,40,Frequent Traveller,Technology,27,NY,Black or African American,Computer Science,Software Engineer,Divorced,42333,1,No,2012-02-19,No,10,4,5,5,Masters 
Sheffie,Tonkin,Male,39,Some Travel,Sales,38,CA,Mixed or multiple ethnic groups,Technical Degree,Manager,Married,300299,1,Yes,2012-02-19,No,10,7,7,10,High School 
Kai,Lush,Female,34,Frequent Traveller,Sales,15,CA,White,Marketing ,Sales Executive,Single,173246,0,Yes,2012-02-20,Yes,9,4,7,7,High School 
Patrica,Lamyman,Female,35,Some Travel,Human Resources,22,CA,Mixed or multiple ethnic groups,Economics,Recruiter,Married,67264,0,No,2012-02-22,No,10,8,8,2,No Formal Qualifications
Caryl,Loving,Male,29,Frequent Traveller,Technology,14,IL,Asian or Asian American,Computer Science,Senior Software Engineer,Married,93591,1,No,2012-02-22,No,10,4,10,3,Bachelors 
Carlyn,Pavese,Female,37,No Travel ,Technology,16,NY,Mixed or multiple ethnic groups,Information Systems,Data Scientist,Divorced,82099,2,No,2012-02-23,No,10,1,7,6,Bachelors 
Amye,Townes,Female,38,Some Travel,Technology,39,IL,White,Information Systems,Data Scientist,Married,83590,1,No,2012-02-23,No,10,2,3,9,Masters 
Susanne,Wisam,Female,29,Some Travel,Sales,19,NY,White,Marketing ,Sales Executive,Single,122811,0,Yes,2012-02-27,Yes,2,1,1,1,High School 
Gunther,Keays,Male,40,Some Travel,Technology,9,NY,Black or African American,Computer Science,Software Engineer,Single,58551,0,No,2012-02-27,No,10,6,7,3,No Formal Qualifications
Reggie,Matthewman,Female,44,Some Travel,Technology,28,CA,Black or African American,Information Systems,Software Engineer,Married,53325,1,Yes,2012-02-28,No,10,4,8,4,Bachelors 
Roderic,Daddow,Male,45,Some Travel,Sales,19,IL,White,Marketing ,Sales Representative,Married,47326,1,No,2012-02-29,No,10,10,10,10,Masters 
Jessa,Glasscoo,Female,41,Some Travel,Sales,16,CA,White,Marketing ,Sales Representative,Married,48147,1,No,2012-03-01,No,10,8,10,5,No Formal Qualifications
Angel,Hazeup,Male,42,Some Travel,Human Resources,4,IL,Black or African American,Human Resources,HR Manager,Married,463051,1,No,2012-03-01,No,10,0,10,7,Bachelors 
Leona,McKnish,Female,36,Some Travel,Technology,32,CA,Asian or Asian American,Computer Science,Senior Software Engineer,Married,111294,1,No,2012-03-02,No,10,8,8,10,Bachelors 
Leonidas,Clarke-Williams,Non-Binary,35,No Travel ,Technology,27,CA,Asian or Asian American,Computer Science,Analytics Manager,Single,542695,0,No,2012-03-02,No,10,5,5,1,Bachelors 
Quintilla,Wyllt,Female,45,Some Travel,Technology,2,IL,White,Information Systems,Data Scientist,Divorced,64795,3,Yes,2012-03-03,No,10,5,8,10,No Formal Qualifications
Erica,Dracksford,Female,35,Some Travel,Technology,36,CA,White,Computer Science,Software Engineer,Married,59086,1,Yes,2012-03-04,No,10,2,8,4,Masters 
Buck,Klawi,Male,41,Some Travel,Sales,17,NY,White,Economics,Sales Executive,Married,116966,2,No,2012-03-04,No,10,4,10,7,Bachelors 
Thekla,Flintuff,Non-Binary,39,Frequent Traveller,Technology,8,CA,Asian or Asian American,Information Systems,Software Engineer,Single,137427,0,Yes,2012-03-04,No,10,9,10,8,Masters 
Ruthy,Pena,Female,48,Some Travel,Technology,25,CA,White,Computer Science,Data Scientist,Married,47464,0,No,2012-03-06,No,10,4,8,10,No Formal Qualifications
Gustavo,Chatel,Male,46,Some Travel,Sales,20,CA,Black or African American,Technical Degree,Sales Executive,Married,150731,2,No,2012-03-06,No,10,8,9,3,High School 
Diannne,Choules,Female,43,Some Travel,Technology,35,CA,White,Computer Science,Engineering Manager,Divorced,436813,2,No,2012-03-07,No,10,8,9,7,Bachelors 
Mireielle,Chstney,Female,46,Frequent Traveller,Sales,14,NY,White,Economics,Sales Executive,Married,205159,1,No,2012-03-07,No,10,1,9,6,No Formal Qualifications
Vitoria,MacVaugh,Female,30,Some Travel,Technology,8,IL,White,Information Systems,Software Engineer,Married,70771,1,No,2012-03-08,No,10,9,9,2,Bachelors 
Wyatt,Ziehm,Male,30,Some Travel,Technology,6,CA,Black or African American,Computer Science,Machine Learning Engineer,Married,126238,0,No,2012-03-08,No,10,3,6,6,High School 
Reese,Dibbert,Male,39,Some Travel,Technology,5,CA,White,Computer Science,Data Scientist,Single,58685,0,No,2012-03-08,Yes,9,6,6,2,High School 
Hy,Trevance,Male,35,Some Travel,Sales,29,NY,White,Marketing,Sales Executive,Divorced,182764,2,Yes,2012-03-10,No,10,7,9,9,Doctorate
Sheba,McCromley,Female,35,Some Travel,Human Resources,7,CA,Mixed or multiple ethnic groups,Marketing ,Recruiter,Divorced,47995,3,Yes,2012-03-12,No,10,5,6,3,Bachelors 
Darlene,Mansbridge,Female,28,Frequent Traveller,Technology,9,CA,Black or African American,Computer Science,Software Engineer,Married,48930,1,Yes,2012-03-14,Yes,7,4,6,2,Bachelors 
Ignacius,Streeter,Non-Binary,46,Some Travel,Technology,36,NY,Black or African American,Computer Science,Machine Learning Engineer,Married,102964,2,No,2012-03-17,No,10,10,10,2,High School 
Lebbie,Poure,Female,43,Some Travel,Technology,11,CA,White,Information Systems,Analytics Manager,Married,482510,1,No,2012-03-17,No,10,9,9,1,Doctorate
Camila,Hernik,Female,36,No Travel ,Sales,33,NY,Asian or Asian American,Marketing,Sales Executive,Married,116057,1,No,2012-03-19,No,10,2,10,2,Masters 
Muffin,Ellcome,Female,45,Some Travel,Technology,20,NY,White,Computer Science,Software Engineer,Married,90264,0,Yes,2012-03-19,No,10,2,4,4,No Formal Qualifications
Ring,Genge,Male,42,Some Travel,Sales,16,IL,Asian or Asian American,Marketing ,Sales Executive,Married,106277,2,No,2012-03-19,No,10,0,5,5,Masters 
Munmro,Ledamun,Male,39,Some Travel,Technology,34,CA,Mixed or multiple ethnic groups,Computer Science,Machine Learning Engineer,Divorced,264285,1,No,2012-03-23,No,10,10,10,1,No Formal Qualifications
Crystal,McLleese,Female,34,Some Travel,Technology,41,CA,Black or African American,Information Systems,Engineering Manager,Divorced,357371,1,No,2012-03-24,No,10,9,9,3,High School 
Amity,Kalisz,Female,41,Some Travel,Technology,9,CA,Black or African American,Computer Science,Machine Learning Engineer,Single,197592,0,Yes,2012-03-24,No,10,5,10,0,Bachelors 
Jayne,Mickleburgh,Female,30,Some Travel,Human Resources,19,NY,Mixed or multiple ethnic groups,Human Resources,HR Executive,Married,97153,1,No,2012-03-25,No,10,5,6,9,Bachelors 
Eberto,Flaherty,Male,38,Some Travel,Technology,39,NY,White,Computer Science,Data Scientist,Single,65416,0,No,2012-03-25,No,10,5,10,7,Bachelors 
Lucas,Oran,Male,35,No Travel ,Technology,17,CA,Asian or Asian American,Computer Science,Senior Software Engineer,Divorced,117151,1,No,2012-03-26,No,10,3,7,6,High School 
Nikolas,Leslie,Male,32,Some Travel,Sales,39,CA,Black or African American,Marketing ,Sales Executive,Married,105748,2,No,2012-03-28,No,10,0,1,8,Masters 
Addison,Elfe,Male,46,Some Travel,Technology,11,CA,Black or African American,Information Systems,Software Engineer,Married,56608,3,Yes,2012-03-31,No,10,3,5,9,Masters 
Saxe,Theodoris,Male,30,Some Travel,Technology,14,CA,Asian or Asian American,Computer Science,Machine Learning Engineer,Married,194823,1,No,2012-04-01,No,10,4,9,8,Masters 
Bartolemo,Balma,Male,28,Frequent Traveller,Technology,22,CA,White,Computer Science,Machine Learning Engineer,Single,205433,0,No,2012-04-02,Yes,4,1,2,1,Doctorate
Jodie,Le Breton De La Vieuville,Male,42,Some Travel,Technology,34,NY,White,Business Studies,Machine Learning Engineer,Divorced,126463,1,No,2012-04-04,No,10,0,1,8,Masters 
Darice,Excell,Female,47,Some Travel,Technology,5,NY,Mixed or multiple ethnic groups,Information Systems,Data Scientist,Single,133616,0,Yes,2012-04-06,No,10,9,9,0,Doctorate
Eleanora,Thornbarrow,Female,36,Some Travel,Technology,4,CA,White,Information Systems,Senior Software Engineer,Single,208338,0,No,2012-04-07,No,10,10,10,1,Bachelors 
Murdock,Spaduzza,Male,31,Some Travel,Sales,15,CA,White,Marketing,Sales Executive,Married,187930,3,No,2012-04-07,Yes,3,2,2,0,Bachelors 
Elle,Balcombe,Female,43,Frequent Traveller,Sales,1,NY,Mixed or multiple ethnic groups,Marketing,Sales Executive,Single,180996,0,No,2012-04-10,No,10,8,10,9,Bachelors 
Skipper,Sambles,Male,47,Some Travel,Technology,40,NY,White,Computer Science,Data Scientist,Single,108798,0,No,2012-04-12,No,10,0,4,7,High School 
Emmerich,Wallicker,Male,47,No Travel ,Sales,17,NY,White,Other,Sales Executive,Married,176158,0,No,2012-04-13,No,10,9,10,2,Masters 
Horst,Mynett,Male,36,Some Travel,Technology,7,CA,Black or African American,Computer Science,Data Scientist,Divorced,73643,1,No,2012-04-14,No,10,0,7,9,Masters 
Benyamin,Wasielewicz,Male,43,No Travel ,Technology,15,CA,Asian or Asian American,Other,Machine Learning Engineer,Divorced,76826,1,No,2012-04-14,No,10,9,9,7,High School 
Pierce,Birkby,Male,38,Some Travel,Technology,40,CA,White,Computer Science,Senior Software Engineer,Divorced,126505,1,No,2012-04-15,No,10,1,5,8,Masters 
Joana,McDougal,Female,45,Some Travel,Technology,34,NY,White,Information Systems,Machine Learning Engineer,Divorced,152278,1,Yes,2012-04-18,No,10,8,8,2,High School 
Eldridge,Artois,Male,28,Some Travel,Technology,6,CA,White,Information Systems,Data Scientist,Single,87175,0,No,2012-04-21,No,10,6,10,7,No Formal Qualifications
Bonni,Coal,Non-Binary,35,Some Travel,Sales,26,CA,Black or African American,Marketing,Sales Executive,Single,98435,0,No,2012-04-23,No,10,7,9,9,Masters 
Patrice,Wearing,Female,28,Some Travel,Technology,33,CA,Asian or Asian American,Computer Science,Data Scientist,Single,54536,0,No,2012-04-23,Yes,3,3,3,2,Bachelors 
Beth,Kunz,Female,31,Some Travel,Technology,14,NY,Mixed or multiple ethnic groups,Other,Software Engineer,Single,63482,0,No,2012-04-23,Yes,1,0,1,1,No Formal Qualifications
Rolf,Cunah,Male,29,Some Travel,Technology,33,CA,White,Computer Science,Software Engineer,Divorced,153909,1,No,2012-04-23,No,10,10,10,2,Bachelors 
Tadeas,Lackney,Male,29,Frequent Traveller,Sales,42,CA,White,Technical Degree,Sales Representative,Married,78726,1,No,2012-04-25,Yes,6,0,1,1,Bachelors 
Ashli,Hales,Female,46,Some Travel,Sales,36,CA,White,Marketing ,Sales Executive,Married,96188,1,Yes,2012-04-26,Yes,9,8,9,5,Bachelors 
Shani,Deackes,Female,28,Frequent Traveller,Sales,32,NY,Black or African American,Technical Degree,Sales Representative,Single,53439,0,Yes,2012-04-27,Yes,3,0,0,1,No Formal Qualifications
Faydra,Losbie,Female,28,Some Travel,Technology,9,NY,Asian or Asian American,Computer Science,Software Engineer,Single,43578,0,Yes,2012-04-27,Yes,5,3,5,5,Masters 
Zondra,Duigenan,Female,40,Some Travel,Technology,26,CA,Mixed or multiple ethnic groups,Information Systems,Senior Software Engineer,Single,120858,0,No,2012-04-29,No,10,9,9,8,Bachelors 
Ruprecht,Blatchford,Male,32,Some Travel,Technology,36,CA,Black or African American,Computer Science,Software Engineer,Single,78672,0,No,2012-04-29,No,10,6,9,5,High School 
Jacki,Mitro,Female,30,Some Travel,Technology,30,NY,Asian or Asian American,Computer Science,Machine Learning Engineer,Married,228438,1,No,2012-04-30,No,10,6,9,10,No Formal Qualifications
Jillayne,Goshawke,Female,35,Frequent Traveller,Technology,39,CA,Mixed or multiple ethnic groups,Computer Science,Software Engineer,Single,71257,0,No,2012-05-01,No,10,1,6,10,Masters 
Glenda,Peacock,Female,37,Frequent Traveller,Technology,14,CA,Mixed or multiple ethnic groups,Computer Science,Machine Learning Engineer,Married,99936,1,No,2012-05-01,No,10,9,10,6,Masters 
Carita,Strowther,Female,29,Some Travel,Sales,4,CA,Mixed or multiple ethnic groups,Marketing ,Sales Executive,Single,129356,0,No,2012-05-02,Yes,5,1,1,2,High School 
Lin,Dibbs,Female,42,Some Travel,Sales,39,CA,White,Economics,Sales Executive,Married,206277,2,No,2012-05-02,No,10,6,10,1,Bachelors 
Annie,Jablonski,Female,45,Some Travel,Sales,43,CA,Black or African American,Other,Sales Executive,Divorced,106610,1,Yes,2012-05-03,No,10,0,7,5,High School 
Eleanor,Hillen,Female,28,Some Travel,Sales,8,CA,Mixed or multiple ethnic groups,Marketing,Sales Executive,Married,194964,1,Yes,2012-05-04,No,10,2,2,8,Bachelors 
Tobit,Lowry,Male,42,Some Travel,Technology,5,NY,Mixed or multiple ethnic groups,Computer Science,Data Scientist,Single,47461,0,No,2012-05-05,No,10,4,7,5,No Formal Qualifications
Dolf,Featenby,Male,43,Some Travel,Sales,39,CA,White,Marketing,Sales Executive,Divorced,176705,1,No,2012-05-05,No,10,5,7,7,High School 
Nichols,Baty,Male,34,Some Travel,Technology,40,IL,White,Computer Science,Senior Software Engineer,Married,97542,3,No,2012-05-06,No,10,10,10,7,Bachelors 
Mattie,Wippermann,Female,28,Some Travel,Technology,23,NY,White,Information Systems,Data Scientist,Married,35606,3,Yes,2012-05-07,Yes,5,3,4,5,Bachelors 
Eve,Takkos,Female,42,No Travel ,Sales,10,CA,White,Marketing ,Sales Representative,Married,48922,1,No,2012-05-07,No,10,3,9,9,High School 
Allyson,Kordas,Female,28,Frequent Traveller,Technology,4,CA,Mixed or multiple ethnic groups,Computer Science,Data Scientist,Married,65659,1,Yes,2012-05-09,Yes,2,0,0,0,Bachelors 
Reinaldos,Baynes,Male,28,Some Travel,Human Resources,18,CA,Native Hawaiian ,Economics,HR Executive,Married,179561,1,No,2012-05-09,Yes,1,0,0,1,High School 
Husain,Frizzell,Male,45,Frequent Traveller,Sales,1,NY,Black or African American,Marketing ,Sales Representative,Married,70487,1,No,2012-05-09,No,10,0,7,3,Bachelors 
Karina,Weddup,Female,32,Some Travel,Technology,39,CA,Asian or Asian American,Computer Science,Software Engineer,Single,68256,0,No,2012-05-10,No,10,7,9,6,No Formal Qualifications
Veronica,Farlham,Female,43,Some Travel,Technology,10,CA,White,Computer Science,Software Engineer,Divorced,43211,1,No,2012-05-12,No,10,2,6,9,Bachelors 
Paule,Mapplebeck,Female,28,Some Travel,Sales,1,CA,White,Marketing ,Sales Executive,Married,87039,1,No,2012-05-13,No,10,3,5,4,Masters 
Gabriello,Clemente,Male,44,Some Travel,Technology,23,CA,Native Hawaiian ,Information Systems,Data Scientist,Single,108623,0,No,2012-05-13,No,10,3,3,8,Bachelors 
Filide,Dinnies,Female,36,Some Travel,Technology,41,NY,White,Computer Science,Machine Learning Engineer,Single,218940,0,Yes,2012-05-14,No,10,6,8,5,Bachelors 
Sherwood,Furlow,Non-Binary,37,Some Travel,Technology,28,CA,Black or African American,Information Systems,Analytics Manager,Single,368494,0,Yes,2012-05-14,No,10,8,9,6,Bachelors 
Fan,Pizey,Female,35,Some Travel,Technology,32,NY,Mixed or multiple ethnic groups,Business Studies,Data Scientist,Married,119917,1,Yes,2012-05-15,No,10,5,7,4,High School 
Vernen,Rennie,Male,48,Some Travel,Sales,33,NY,Mixed or multiple ethnic groups,Marketing ,Sales Executive,Divorced,191771,1,No,2012-05-17,No,10,0,10,4,High School 
Ginger,Blinde,Male,48,Some Travel,Technology,26,IL,White,Information Systems,Data Scientist,Divorced,35749,2,No,2012-05-17,No,10,7,7,8,Masters 
Lonni,Lelievre,Female,34,Some Travel,Sales,16,NY,White,Economics,Sales Executive,Divorced,100710,1,Yes,2012-05-20,No,10,10,10,2,High School 
Gerri,Fullerlove,Female,34,Some Travel,Technology,41,NY,Black or African American,Computer Science,Software Engineer,Married,50386,1,No,2012-05-20,No,10,8,9,10,Bachelors 
Conn,Mouser,Male,46,Some Travel,Human Resources,45,IL,White,Human Resources,Recruiter,Divorced,48740,3,Yes,2012-05-20,Yes,10,8,9,6,Bachelors 
Murry,Dominici,Male,47,Some Travel,Sales,42,CA,Asian or Asian American,Marketing ,Sales Executive,Married,249553,1,No,2012-05-20,No,10,3,4,9,Bachelors 
Francine,Fernez,Female,32,Frequent Traveller,Technology,14,IL,American Indian or Alaska Native,Business Studies,Software Engineer,Married,86639,0,No,2012-05-21,No,10,3,9,5,Bachelors 
Cassandre,Joubert,Non-Binary,42,Some Travel,Technology,12,CA,White,Business Studies,Senior Software Engineer,Married,167089,1,No,2012-05-24,No,10,7,9,8,Masters 
Eulalie,Critch,Female,43,Frequent Traveller,Sales,5,CA,American Indian or Alaska Native,Marketing ,Sales Executive,Single,350525,0,Yes,2012-05-27,Yes,9,3,9,6,Bachelors 
Karlen,Gulston,Female,36,No Travel ,Technology,28,CA,Asian or Asian American,Other,Data Scientist,Divorced,77136,2,No,2012-05-28,No,10,10,10,10,Masters 
Danielle,Viste,Female,48,No Travel ,Technology,40,CA,White,Information Systems,Machine Learning Engineer,Divorced,92884,1,No,2012-05-30,No,10,5,9,2,High School 
Whitman,Schruyers,Male,42,Some Travel,Sales,26,CA,White,Marketing,Sales Executive,Single,91179,0,No,2012-05-30,No,10,7,9,0,Masters 
Celie,Jedrys,Female,33,Some Travel,Technology,36,CA,Asian or Asian American,Computer Science,Machine Learning Engineer,Single,88726,0,No,2013-01-01,No,9,8,8,6,Bachelors 
Doralynne,Giacoboni,Female,47,Frequent Traveller,Sales,19,CA,American Indian or Alaska Native,Technical Degree,Sales Representative,Married,46684,1,No,2013-01-12,No,9,4,9,3,Bachelors 
Adan,Fradgley,Male,29,Some Travel,Sales,38,CA,Asian or Asian American,Marketing,Sales Executive,Married,102061,1,No,2013-01-17,No,9,5,9,5,Masters 
Doralin,Whiley,Female,42,Some Travel,Technology,9,CA,Asian or Asian American,Information Systems,Data Scientist,Married,73577,1,No,2013-01-23,No,9,9,9,6,High School 
Purcell,Keig,Male,39,Some Travel,Technology,3,CA,Black or African American,Computer Science,Machine Learning Engineer,Single,81115,0,No,2013-01-24,No,9,2,4,0,Bachelors 
Mimi,Mawditt,Female,46,Frequent Traveller,Technology,16,NY,White,Computer Science,Software Engineer,Single,100717,0,Yes,2013-01-30,No,9,5,9,7,High School 
Trumaine,Nevett,Male,29,Some Travel,Sales,20,NY,Black or African American,Marketing ,Sales Executive,Single,149688,0,Yes,2013-02-04,Yes,2,2,2,2,Bachelors 
Jeri,MacDiarmid,Female,36,Some Travel,Technology,35,NY,White,Computer Science,Software Engineer,Married,60585,2,No,2013-02-05,No,9,0,7,9,High School 
Albina,Baston,Female,46,Frequent Traveller,Technology,24,NY,White,Computer Science,Engineering Manager,Married,514945,0,Yes,2013-02-05,No,9,4,7,7,Bachelors 
Greta,Turneux,Female,31,Frequent Traveller,Sales,21,NY,Asian or Asian American,Marketing,Sales Executive,Single,253719,0,No,2013-02-12,No,9,2,4,3,Bachelors 
